seed,ncores,nsrc
10,1,92
10,2,92
10,4,92
10,7,92
15,1,87
15,2,87
15,4,87
15,7,87
20,1,82
20,2,82
20,4,82
20,7,82
25,1,76
25,2,76
25,4,76
25,7,76
30,1,72
30,2,72
30,4,72
30,7,72
35,1,66
35,2,66
35,4,66
35,7,66
40,1,62
40,2,62
40,4,62
40,7,62
45,1,56
45,2,56
45,4,56
45,7,56
50,1,52
50,2,52
50,4,52
50,7,52
55,1,46
55,2,46
55,4,46
55,7,46
5,1,98
5,2,98
5,4,98
5,7,98
60,1,40
60,2,40
60,4,40
60,7,40
65,1,35
65,2,35
65,4,35
65,7,35
70,1,30
70,2,30
70,4,30
70,7,30
75,1,26
75,2,26
75,4,26
75,7,26
80,1,19
80,2,19
80,4,19
80,7,19
85,1,13
85,2,13
85,4,13
85,7,13
90,1,9
90,2,9
90,4,9
90,7,9
95,1,3
95,2,3
95,4,3
95,7,3
