"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",201,39610961,197069,36.360661472600434
"hsa_amd_memory_unlock",101,22802950,225771,20.93184120240441
"hsa_amd_memory_lock_to_pool",102,21080277,206669,19.350523097524576
"hsa_queue_create",1,12392272,12392272,11.375417200011512
"hsa_system_get_info",9222,4024111,436,3.6939103244470037
"hsa_amd_memory_pool_allocate",28,2701787,96492,2.480090358779044
"hsa_amd_agents_allow_access",18,1460576,81143,1.3407276205948362
"hsa_signal_store_screlease",401,841623,2098,0.7725631546923185
"hsa_amd_memory_async_copy",101,785371,7775,0.720926943968809
"hsa_executable_load_agent_code_object",2,408409,204204,0.37489677141040006
"hsa_amd_signal_async_handler",301,396572,1317,0.3640310630563116
"hsa_agent_get_info",568,371332,653,0.34086214535273873
"hsa_signal_destroy",101,361738,3581,0.33205538638094484
"hsa_signal_load_relaxed",903,329498,364,0.30246085758684066
"hsa_executable_destroy",1,215947,215947,0.1982273483095663
"hsa_executable_freeze",2,168676,84338,0.1548351966152084
"hsa_signal_create",149,124946,838,0.11469348618821781
"hsa_system_get_major_extension_table",7,117498,16785,0.1078566359878925
"hsa_queue_add_write_index_screlease",300,91528,305,0.08401761884202134
"hsa_signal_silent_store_relaxed",301,86177,286,0.07910569813553092
"hsa_queue_load_read_index_scacquire",300,77238,257,0.07090019277292244
"hsa_queue_load_read_index_relaxed",300,75147,250,0.06898077094573658
"hsa_isa_get_info_alt",16,64543,4033,0.05924688808802316
"hsa_amd_profiling_get_dispatch_time",200,60369,301,0.055415387989183496
"hsa_amd_memory_pool_free",2,59425,29712,0.05454884843640327
"hsa_amd_profiling_get_async_copy_time",101,51855,513,0.04760000901421441
"hsa_amd_memory_pool_get_info",208,51133,245,0.04693725312744819
"hsa_amd_agent_iterate_memory_pools",61,40908,670,0.03755127121306496
"hsa_amd_agent_memory_pool_get_info",128,31791,248,0.029182371739868682
"hsa_code_object_reader_create_from_memory",2,25348,12674,0.023268055703255366
"hsa_executable_get_symbol_by_name",15,6857,457,0.006294345035396168
"hsa_executable_create_alt",2,6593,3296,0.0060520077028389865
"hsa_iterate_agents",4,4318,1079,0.003963684098416312
"hsa_amd_profiling_async_copy_enable",2,3908,1954,0.003587326877399478
"hsa_executable_symbol_get_info",15,3684,245,0.0033817073225024764
"hsa_agent_iterate_isas",8,2857,357,0.0026225672693782776
"hsa_code_object_reader_destroy",1,521,521,0.0004782490540238301
"hsa_amd_profiling_set_profiler_enabled",1,311,311,0.0002854807213078909
"hsa_dispatch",100,0,0,0.0
